,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title_std,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre,movie_same_name,averageRating,numVotes,search_index,error_message
1000,18804,tt2304771,movie,Mandela: Long Walk to Freedom,Mandela: Long Walk to Freedom,0,2013,\N,141,"Biography,Drama,History",mandela long walk to freedom,2013-11-29,Mandela: Long Walk to Freedom,35000000.0,8323085.0,29890402.0,Weinstein Co.,PG-13,Drama,1,7.1,28795.0,13.25,
1001,21691,tt2893490,movie,Manglehorn,Manglehorn,0,2014,\N,97,Drama,manglehorn,2015-06-19,Manglehorn,4000000.0,132270.0,797439.0,IFC Films,PG-13,Drama,1,5.5,7915.0,5.653846153846154,
1002,6994,tt1071812,movie,Mao's Last Dancer,Mao's Last Dancer,0,2009,\N,117,"Biography,Drama,Music",maos last dancer,2010-08-20,Mao's Last Dancer,18000000.0,4806750.0,25941437.0,Samuel Goldwyn Films,PG,Drama,1,7.3,8225.0,19.75,
1003,2768,tt0427498,short,Mar adentro,Mar adentro,0,2004,\N,19,"Drama,Romance,Short",mar adentro,2004-12-17,Mar adentro,13300000.0,2086345.0,39686345.0,Fine Line,PG-13,Drama,1,7.5,45.0,11.78,
1004,1520,tt0266747,movie,Marci X,Marci X,0,2003,\N,84,"Comedy,Music",marci x,2003-08-22,Marci X,20000000.0,1646664.0,1646664.0,Paramount Pictures,R,Comedy,1,3.0,5441.0,,The request failed: Google returned a response with code 500
1005,3068,tt0466893,movie,Margaret,Margaret,0,2011,\N,150,Drama,margaret,2011-09-30,Margaret,14000000.0,47185.0,623292.0,Fox Searchlight,R,Drama,1,6.5,18055.0,33.09615384615385,
1006,14107,tt1615147,movie,Margin Call,Margin Call,0,2011,\N,107,"Drama,Thriller",margin call,2011-10-21,Margin Call,3400000.0,5353586.0,20433227.0,Roadside Attractions,R,Drama,1,7.1,140752.0,9.884615384615385,
1007,2485,tt0390221,movie,Maria Full of Grace,Maria Full of Grace,0,2004,\N,101,"Crime,Drama",maria full of grace,2004-07-16,Maria Full of Grace,3200000.0,6529624.0,14441158.0,New Line,R,Drama,1,7.4,35887.0,8.892857142857142,
1008,2730,tt0422720,movie,Marie Antoinette,Marie Antoinette,0,2006,\N,123,"Biography,Drama,History",marie antoinette,2006-10-20,Marie Antoinette,40000000.0,15962471.0,60862471.0,Sony Pictures,PG-13,Drama,1,6.5,118351.0,13.692307692307692,
1009,5270,tt0822832,movie,Marley & Me,Marley & Me,0,2008,\N,111,"Drama,Family",marley  me,2008-12-25,Marley & Me,60000000.0,143153751.0,247812011.0,20th Century Fox,PG,Comedy,1,7.0,165168.0,5.5576923076923075,
1010,11479,tt1392197,movie,Marmaduke,Marmaduke,0,2010,\N,99,"Comedy,Family",marmaduke,2010-06-04,Marmaduke,50000000.0,33644788.0,89895930.0,20th Century Fox,PG,Adventure,1,4.3,17190.0,9.653846153846153,
1011,5183,tt0804505,movie,Married Life,Married Life,0,2007,\N,91,"Biography,Crime,Drama",married life,2008-03-07,Married Life,12000000.0,1506998.0,2975188.0,Sony Pictures Classics,PG-13,Drama,1,6.2,9673.0,56.53846153846154,
1012,10266,tt1305591,movie,Mars Needs Moms,Mars Needs Moms,0,2011,\N,88,"Action,Adventure,Animation",mars needs moms,2011-03-11,Mars Needs Moms,150000000.0,21392758.0,39549758.0,Walt Disney,PG,Adventure,1,5.4,23607.0,2.8653846153846154,
1013,27310,tt5301662,movie,Marshall,Marshall,0,2017,\N,118,"Biography,Crime,Drama",marshall,2017-10-13,Marshall,12000000.0,10051659.0,10116816.0,Open Road,PG-13,Drama,1,7.3,26077.0,60.86538461538461,
1014,2669,tt0415965,movie,Martian Child,Martian Child,0,2007,\N,106,"Comedy,Drama,Family",martian child,2007-11-02,Martian Child,27000000.0,7500310.0,9352089.0,New Line,PG,Drama,1,6.7,20823.0,5.230769230769231,
1015,1930,tt0319829,movie,Masked and Anonymous,Masked and Anonymous,0,2003,\N,112,"Comedy,Drama,Music",masked and anonymous,2003-07-24,Masked and Anonymous,7500000.0,533344.0,555335.0,Sony Pictures,PG-13,Drama,1,5.3,4949.0,,The request failed: Google returned a response with code 500
1016,3757,tt0568316,tvEpisode,Maurice Richard,Maurice Richard,0,2000,\N,\N,"Biography,Documentary,History",maurice richard,2007-11-30,Maurice Richard,8000000.0,0.0,0.0,Palm Pictures,PG,Drama,1,,,40.0,
